"streetname","originalcertifybydate","newcorrectbydate","registrationid","longitude","zip","latitude","violationid","class","inspectiondate","newcertifybydate","nta","communityboard","violationstatus","councildistrict","censustract","bbl","story","block","buildingid","novid","currentstatus","currentstatusdate","lot","approveddate","novtype","ordernumber","certifieddate","highhousenumber","boro","bin","boroid","novissueddate","streetcode","novdescription","currentstatusid","originalcorrectbydate","lowhousenumber","housenumber","apartment"
"SEAMAN AVENUE","2014-02-01T00:00:00.000",NULL,115389,-73.925639,10034,40.867882,10000875,"A","2013-10-09T00:00:00.000",NULL,"Marble Hill-Inwood",12,"Close",10,295,1022480040,"2",2248,27552,4707738,"VIOLATION CLOSED","2015-02-19T00:00:00.000",40,"2013-10-12T00:00:00.000","Original",508,NULL,"70","MANHATTAN",1065071,1,"2013-10-15T00:00:00.000",30190,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           WEST WALL\,         EAST WALL IN THE BATHROOM  LOCATED AT APT 2D\, 2nd STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2014-01-18T00:00:00.000","60","60","2D"
"WEST 161 STREET","2013-12-03T00:00:00.000",NULL,104007,-73.942078,10032,40.836135,10000907,"B","2013-10-09T00:00:00.000",NULL,"Washington Heights South",12,"Close",7,245,1021190012,"2",2119,42918,4707763,"VIOLATION CLOSED","2016-09-25T00:00:00.000",12,"2013-10-12T00:00:00.000","Original",569,NULL,"578","MANHATTAN",1062824,1,"2013-10-15T00:00:00.000",36990,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT  LOCATED AT APT 2B\, 2nd STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-19T00:00:00.000","574","574","2B"
"WEST 161 STREET","2013-12-03T00:00:00.000",NULL,104007,-73.942078,10032,40.836135,10000909,"B","2013-10-09T00:00:00.000",NULL,"Washington Heights South",12,"Close",7,245,1021190012,"2",2119,42918,4707763,"VIOLATION CLOSED","2017-02-22T00:00:00.000",12,"2013-10-12T00:00:00.000","Original",550,NULL,"578","MANHATTAN",1062824,1,"2013-10-15T00:00:00.000",36990,"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT EAST WALL\, SOUTH WALL AND           CEILING IN THE BATHROOM  LOCATED AT APT 2B\, 2nd STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-19T00:00:00.000","574","574","2B"
"ST NICHOLAS PLACE","2016-03-30T00:00:00.000",NULL,124911,-73.941314,10031,40.82874,10000911,"B","2013-10-09T00:00:00.000",NULL,"Hamilton Heights",9,"Close",9,23501,1020540092,"1",2054,28329,5361717,"VIOLATION CLOSED","2016-05-22T00:00:00.000",92,"2013-10-10T00:00:00.000","Reissued",501,"2016-03-13T00:00:00.000","50","MANHATTAN",1061191,1,"2016-02-10T00:00:00.000",31290,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE  SRING  BALANCE  AT BOTTOM SASH WINDOW  IN THE 2nd ROOM  FROM NORTH AT WEST LOCATED AT APT 1\, 1st STORY\, 11th APARTMENT FROM WEST AT NORTH",19,"2016-03-16T00:00:00.000","44","48","1"
"ST NICHOLAS PLACE","2013-12-03T00:00:00.000",NULL,124911,-73.941314,10031,40.82874,10000913,"B","2013-10-09T00:00:00.000",NULL,"Hamilton Heights",9,"Close",9,23501,1020540092,"1",2054,28329,4707213,"VIOLATION CLOSED","2014-09-12T00:00:00.000",92,"2013-10-11T00:00:00.000","Original",508,NULL,"50","MANHATTAN",1061191,1,"2013-10-15T00:00:00.000",31290,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR  ALL WALLS\,    IN THE BATHROOM  LOCATED AT APT 1\, 1st STORY\, 11th APARTMENT FROM WEST AT NORTH",19,"2013-11-19T00:00:00.000","44","48","1"
"ST NICHOLAS PLACE","2013-11-29T00:00:00.000",NULL,124911,-73.941314,10031,40.82874,10000914,"B","2013-10-09T00:00:00.000",NULL,"Hamilton Heights",9,"Close",9,23501,1020540092,"1",2054,28329,4706292,"VIOLATION CLOSED","2014-09-12T00:00:00.000",92,"2013-10-10T00:00:00.000","Original",593,NULL,"50","MANHATTAN",1061191,1,"2013-10-11T00:00:00.000",31290,"SECTION 27-2026 ADM CODE  REPAIR THE FLUSHING APPARATUS AND MAINTAIN SAME SO AS TO FLUSH EFFECTIVELY THE WATER CLOSET  '  IN THE BATHROOM  LOCATED AT APT 1\, 1st STORY\, 11th APARTMENT FROM WEST AT NORTH",19,"2013-11-15T00:00:00.000","44","48","1"
"GROVE STREET","2013-11-29T00:00:00.000",NULL,336285,-73.914297,11237,40.699806,10000917,"B","2013-10-09T00:00:00.000",NULL,"Bushwick North",4,"Close",37,441,3033190053,"2",3319,305031,4706709,"VIOLATION CLOSED","2016-07-22T00:00:00.000",53,"2013-10-10T00:00:00.000","Original",702,NULL,"345","BROOKLYN",3075976,3,"2013-10-11T00:00:00.000",46230,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR ...MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 2R\, 2nd STORY\, 1st APARTMENT FROM WEST AT NORTH",19,"2013-11-15T00:00:00.000","345","345","2R"
"GROVE STREET","2014-01-28T00:00:00.000",NULL,336285,-73.914297,11237,40.699806,10000923,"A","2013-10-09T00:00:00.000",NULL,"Bushwick North",4,"Close",37,441,3033190053,"2",3319,305031,4706708,"VIOLATION CLOSED","2016-09-26T00:00:00.000",53,"2013-10-10T00:00:00.000","Original",689,NULL,"345","BROOKLYN",3075976,3,"2013-10-11T00:00:00.000",46230,"SECTION 27-2005\, 2006\, 2037 HMC: PROPERLY REPAIR AND ABATE UNSAFE ELECTRIC WIRING CONDITION CONSISTING OF .....EXPOSED ELECTRIC WIRING AT WEST WALL  IN THE KITCHEN  LOCATED AT APT 2R\, 2nd STORY\, 1st APARTMENT FROM WEST AT NORTH",19,"2014-01-14T00:00:00.000","345","345","2R"
"ROCKAWAY AVENUE","2013-11-29T00:00:00.000",NULL,328544,-73.907683,11212,40.65769,10000926,"B","2013-10-09T00:00:00.000",NULL,"Brownsville",16,"Close",42,916,3036250033,"2",3625,362762,4706777,"VIOLATION CLOSED","2014-10-14T00:00:00.000",33,"2013-10-10T00:00:00.000","Original",505,NULL,"890","BROOKLYN",3082837,3,"2013-10-11T00:00:00.000",73470,"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE UPPER AND LOWER WINDOW SASH  IN THE 1st ROOM  FROM EAST LOCATED AT APT 4\, 2nd STORY\, 1st APARTMENT FROM WEST AT NORTH",19,"2013-11-15T00:00:00.000","890","890","4"
"ROCKAWAY AVENUE","2013-12-03T00:00:00.000",NULL,328544,-73.907683,11212,40.65769,10000929,"B","2013-10-09T00:00:00.000",NULL,"Brownsville",16,"Close",42,916,3036250033,"2",3625,362762,4707900,"VIOLATION CLOSED","2014-10-14T00:00:00.000",33,"2013-10-12T00:00:00.000","Original",1502,NULL,"890","BROOKLYN",3082837,3,"2013-10-15T00:00:00.000",73470,"SECTION 27-2046.1\, 2046.2 HMC: PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE\, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES. IN THE ENTIRE APARTMENT  LOCATED AT APT 4\, 2nd STORY\, 1st APARTMENT FROM WEST AT NORTH",19,"2013-11-19T00:00:00.000","890","890","4"
"BELMONT AVENUE","2013-11-29T00:00:00.000",NULL,363503,-73.879427,11208,40.672996,10000931,"B","2013-10-09T00:00:00.000",NULL,"East New York",5,"Close",42,1194,3040380015,"1",4038,207571,4706644,"VIOLATION CLOSED","2015-06-18T00:00:00.000",15,"2013-10-10T00:00:00.000","Original",550,NULL,"820","BROOKLYN",3089610,3,"2013-10-11T00:00:00.000",18830,"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... AT CEILING APPRX. 2 SQUARE FEET  IN THE BATHROOM  LOCATED AT APT 1\, 1st STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","816","816","1"
"BELMONT AVENUE","2013-11-29T00:00:00.000",NULL,363503,-73.879427,11208,40.672996,10000936,"B","2013-10-09T00:00:00.000",NULL,"East New York",5,"Close",42,1194,3040380015,"1",4038,207571,4706644,"VIOLATION CLOSED","2015-05-28T00:00:00.000",15,"2013-10-10T00:00:00.000","Original",510,NULL,"820","BROOKLYN",3089610,3,"2013-10-11T00:00:00.000",18830,"SECTION 27-2005 ADM CODE & 309 M/D LAW  ABATE THE NUISANCE CONSISTING OF EXPOSED ELECTRICAL WIRING AT CEILING  IN THE KITCHEN  LOCATED AT APT 1\, 1st STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","816","816","1"
"WEST 212 STREET","2017-11-20T00:00:00.000",NULL,101199,-73.917106,10034,40.867865,11905244,"A","2017-07-31T00:00:00.000",NULL,"Marble Hill-Inwood",12,"Close",10,303,1022300029,"4",2230,43723,5816620,"VIOLATION CLOSED","2018-03-02T00:00:00.000",29,"2017-08-02T00:00:00.000","Original",556,NULL,"525","MANHATTAN",1064882,1,"2017-08-03T00:00:00.000",37701,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT ALL WALLS   AT PUBLIC HALL\, 4th STORY",19,"2017-11-06T00:00:00.000","517","517",NULL
"AVENUE O","2013-11-29T00:00:00.000",NULL,353391,-73.982543,11204,40.610381,10000944,"B","2013-10-09T00:00:00.000",NULL,"Bensonhurst East",11,"Close",44,430,3065760043,"2",6576,193076,4706637,"VIOLATION CLOSED","2014-08-11T00:00:00.000",43,"2013-10-10T00:00:00.000","Original",579,"2013-11-27T00:00:00.000","79","BROOKLYN",3173225,3,"2013-10-11T00:00:00.000",14330,"SECTION 27-2026 ADM CODE  REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS AT WASHBASIN  IN THE BATHROOM  LOCATED AT APT B9\, 2nd STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","69","69","B9"
"ROCKAWAY AVENUE","2013-12-03T00:00:00.000",NULL,328544,-73.907683,11212,40.65769,10000952,"B","2013-10-09T00:00:00.000",NULL,"Brownsville",16,"Close",42,916,3036250033,"2",3625,362762,4707900,"VIOLATION CLOSED","2014-10-14T00:00:00.000",33,"2013-10-12T00:00:00.000","Original",702,NULL,"890","BROOKLYN",3082837,3,"2013-10-15T00:00:00.000",73470,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR DEFECTIVE  IN THE ENTIRE APARTMENT  LOCATED AT APT 4\, 2nd STORY\, 1st APARTMENT FROM WEST AT NORTH",19,"2013-11-19T00:00:00.000","890","890","4"
"AVENUE O","2013-11-29T00:00:00.000",NULL,353391,-73.982543,11204,40.610381,10000953,"B","2013-10-09T00:00:00.000",NULL,"Bensonhurst East",11,"Close",44,430,3065760043,"2",6576,193076,4706637,"VIOLATION CLOSED","2014-08-11T00:00:00.000",43,"2013-10-10T00:00:00.000","Original",501,"2013-11-27T00:00:00.000","79","BROOKLYN",3173225,3,"2013-10-11T00:00:00.000",14330,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE ELECTRICAL OUTLET ON NORTH WALL  IN THE KITCHEN  LOCATED AT APT B9\, 2nd STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","69","69","B9"
"MALCOLM X BOULEVARD","2013-11-29T00:00:00.000",NULL,345797,-73.931009,11221,40.692678,10000954,"B","2013-10-09T00:00:00.000",NULL,"Stuyvesant Heights",3,"Close",36,289,3016070042,"3",1607,360548,4706774,"VIOLATION CLOSED","2015-05-18T00:00:00.000",42,"2013-10-10T00:00:00.000","Original",570,NULL,"44","BROOKLYN",3043465,3,"2013-10-11T00:00:00.000",73190,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF BEDBUGS IN THE ENTIRE APARTMENT  LOCATED AT APT 3C\, 3rd STORY\, 2nd APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","44","44","3C"
"BELMONT AVENUE","2013-11-29T00:00:00.000",NULL,363503,-73.879427,11208,40.672996,10000959,"B","2013-10-09T00:00:00.000",NULL,"East New York",5,"Close",42,1194,3040380015,"1",4038,207571,4706644,"VIOLATION CLOSED","2015-05-28T00:00:00.000",15,"2013-10-10T00:00:00.000","Original",1502,NULL,"820","BROOKLYN",3089610,3,"2013-10-11T00:00:00.000",18830,"SECTION 27-2046.1\, 2046.2 HMC: PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE\, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES. IN THE ENTIRE APARTMENT  LOCATED AT APT 1\, 1st STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-11-15T00:00:00.000","816","816","1"
"BELMONT AVENUE","2013-10-24T00:00:00.000",NULL,363503,-73.879427,11208,40.672996,10000966,"C","2013-10-09T00:00:00.000",NULL,"East New York",5,"Close",42,1194,3040380015,"1",4038,207571,4706645,"VIOLATION CLOSED","2016-07-01T00:00:00.000",15,"2013-10-10T00:00:00.000","Original",526,NULL,"820","BROOKLYN",3089610,3,"2013-10-11T00:00:00.000",18830,"SECTION 27-2005\, 2007 ADM CODE  REMOVE THE ILLEGAL FASTENING SLIDE BOLT WITH EYE CAPABLE OF BEING PADLOCKED  IN THE 1st ROOM  FROM EAST LOCATED AT APT 1\, 1st STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2013-10-19T00:00:00.000","816","816","1"
"OCEAN AVENUE","2013-11-28T00:00:00.000",NULL,328629,-73.953772,11230,40.611798,10000971,"B","2013-10-09T00:00:00.000",NULL,"Midwood",14,"Close",48,546,3067660040,"1",6766,347387,4705939,"VIOLATION CLOSED","2014-08-14T00:00:00.000",40,"2013-10-09T00:00:00.000","Original",502,NULL,"2060","BROOKLYN",3182047,3,"2013-10-10T00:00:00.000",67530,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDING MATERIALS AT CEILING  AT PUBLIC HALL\, 1st STORY",19,"2013-11-14T00:00:00.000","2052","2060",NULL
"OCEAN AVENUE","2013-11-28T00:00:00.000",NULL,328629,-73.953772,11230,40.611798,10000972,"B","2013-10-09T00:00:00.000",NULL,"Midwood",14,"Close",48,546,3067660040,"6",6766,347387,4705939,"VIOLATION CLOSED","2014-08-14T00:00:00.000",40,"2013-10-09T00:00:00.000","Original",502,NULL,"2060","BROOKLYN",3182047,3,"2013-10-10T00:00:00.000",67530,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDING MATERIALS AT CEILING  AT PUBLIC HALL\, 6th STORY",19,"2013-11-14T00:00:00.000","2052","2060",NULL
"JACOBUS PLACE","2014-02-09T00:00:00.000",NULL,127846,-73.912154,10463,40.875146,10013502,"A","2013-09-18T00:00:00.000",NULL,"Marble Hill-Inwood",8,"Close",10,309,1022150339,"4",2215,23149,4712750,"VIOLATION CLOSED","2018-10-31T00:00:00.000",339,"2013-10-22T00:00:00.000","Original",556,NULL,"9","MANHATTAN",1064588,1,"2013-10-23T00:00:00.000",23590,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE           WEST WALL IN THE 4th ROOM  FROM NORTH AT WEST LOCATED AT APT 41A\, 4th STORY\, 1st APARTMENT FROM EAST AT SOUTH",19,"2014-01-26T00:00:00.000","1","1","41A"
"HULL AVENUE","2013-11-28T00:00:00.000",NULL,200667,-73.873401,10467,40.879142,10000962,"B","2013-10-09T00:00:00.000",NULL,"Norwood",7,"Close",11,431,2033560104,"2",3356,87532,4705683,"VIOLATION CLOSED","2018-12-03T00:00:00.000",104,"2013-10-09T00:00:00.000","Original",1502,NULL,"3511","BRONX",2018641,2,"2013-10-10T00:00:00.000",41420,"SECTION 27-2046.1\, 2046.2 HMC: PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE\, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES. IN THE ENTIRE APARTMENT  LOCATED AT APT 5B\, 2nd STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2013-11-14T00:00:00.000","3511","3511","5B"
"HULL AVENUE","2013-11-28T00:00:00.000",NULL,200667,-73.873401,10467,40.879142,10000991,"B","2013-10-09T00:00:00.000",NULL,"Norwood",7,"Close",11,431,2033560104,"2",3356,87532,4705683,"VIOLATION CLOSED","2015-11-10T00:00:00.000",104,"2013-10-09T00:00:00.000","Original",526,NULL,"3511","BRONX",2018641,2,"2013-10-10T00:00:00.000",41420,"SECTION 27-2005\, 2007 ADM CODE  REMOVE THE ILLEGAL FASTENING KEY OPERATED LOCK INSTALLED AT DOOR LEADING TO FIRE ESCAPE WINDOW  IN THE 1st ROOM  FROM NORTH LOCATED AT APT 5B\, 2nd STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2013-11-14T00:00:00.000","3511","3511","5B"
"EAST 205 STREET","2014-01-28T00:00:00.000",NULL,210821,-73.876124,10467,40.873534,10000993,"A","2013-10-05T00:00:00.000",NULL,"Norwood",7,"Close",11,42901,2033500044,"2",3350,67415,4706425,"VIOLATION CLOSED","2015-03-10T00:00:00.000",44,"2013-10-10T00:00:00.000","Original",529,NULL,"345","BRONX",2018456,2,"2013-10-11T00:00:00.000",27780,"SECTION 27-2005 ADM CODE  REFIT \,DOOR  IN THE BATHROOM  LOCATED AT APT 1A\, 2nd STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2014-01-14T00:00:00.000","345","345","1A"
"AVENUE O","2013-11-29T00:00:00.000",NULL,353391,-73.982543,11204,40.610381,10000995,"B","2013-10-09T00:00:00.000",NULL,"Bensonhurst East",11,"Close",44,430,3065760043,"Fire Escape",6576,193076,4706637,"VIOLATION CLOSED","2014-08-04T00:00:00.000",43,"2013-10-10T00:00:00.000","Original",539,"2013-11-27T00:00:00.000","79","BROOKLYN",3173225,3,"2013-10-11T00:00:00.000",14330,"SECTION 27-2005\, 2007 ADM CODE  AND DEPT. RULES AND REGULATIONS. REMOVE THE ENCUMBRANCE OBSTRUCTING EGRESS FROM FIRE ESCAPES AIR CONDITIONER AT 2ND STORY BALCONY AT WEST FIRE ESCAPE AT FRONT OF THE BILDING",19,"2013-11-15T00:00:00.000","69","69",NULL
"FREEMAN STREET","2014-01-27T00:00:00.000",NULL,309602,-73.957076,11222,40.73426,10000998,"A","2013-10-09T00:00:00.000",NULL,"Greenpoint",1,"Close",33,563,3025040066,"1",2504,296218,4705871,"VIOLATION CLOSED","2015-06-15T00:00:00.000",66,"2013-10-09T00:00:00.000","Original",591,NULL,"113","BROOKLYN",3063942,3,"2013-10-10T00:00:00.000",42130,"SECTION 27-2026 ADM CODE  RESET\, SO AS TO SECURE A PROPER AND TIGHT CONNECTION\, THE WATER CLOSET BOWL ....  IN THE BATHROOM  LOCATED AT APT 1R\, 1st STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2014-01-13T00:00:00.000","113","113","1R"
"FREEMAN STREET","2014-01-27T00:00:00.000",NULL,309602,-73.957076,11222,40.73426,10001000,"A","2013-10-09T00:00:00.000",NULL,"Greenpoint",1,"Close",33,563,3025040066,"1",2504,296218,4705871,"VIOLATION CLOSED","2015-03-02T00:00:00.000",66,"2013-10-09T00:00:00.000","Original",508,NULL,"113","BROOKLYN",3063942,3,"2013-10-10T00:00:00.000",42130,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WEST AND SOUTH WALL  IN THE BATHROOM  LOCATED AT APT 1R\, 1st STORY\, 1st APARTMENT FROM NORTH AT EAST",19,"2014-01-13T00:00:00.000","113","113","1R"
"SOUTH 3 STREET","2013-11-28T00:00:00.000",NULL,356912,-73.95219,11211,40.708732,10001006,"B","2013-10-09T00:00:00.000",NULL,"North Side-South Side",1,"Close",34,527,3024380012,"3",2438,372176,4705957,"VIOLATION CLOSED","2014-11-18T00:00:00.000",12,"2013-10-09T00:00:00.000","Original",550,NULL,"376","BROOKLYN",3063376,3,"2013-10-10T00:00:00.000",78330,"SECTION  27-2005 HMC:TRACE AND REPAIR THE SOURCE AND ABATE THE NUISANCE CONSISTING OF MOLD ... 1 SQ. FT AT CEILING\, 1 SQ. FT. ATEAST WALL\,1 SQ. FT AT WEST WALL  IN THE BATHROOM  LOCATED AT APT 5\, 3rd STORY\, 2nd APARTMENT FROM EAST AT SOUTH",19,"2013-11-14T00:00:00.000","376","376","5"
"SOUTH 3 STREET","2014-01-27T00:00:00.000",NULL,356912,-73.95219,11211,40.708732,10001007,"A","2013-10-09T00:00:00.000",NULL,"North Side-South Side",1,"Close",34,527,3024380012,"3",2438,372176,4705956,"VIOLATION CLOSED","2014-11-18T00:00:00.000",12,"2013-10-09T00:00:00.000","Original",556,NULL,"376","BROOKLYN",3063376,3,"2013-10-10T00:00:00.000",78330,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT AT EAST WALL\,WEST WALL\, AND CEILING  IN THE BATHROOM  LOCATED AT APT 5\, 3rd STORY\, 2nd APARTMENT FROM EAST AT SOUTH",19,"2014-01-13T00:00:00.000","376","376","5"
"SOUTH 3 STREET","2013-11-28T00:00:00.000",NULL,356912,-73.95219,11211,40.708732,10001008,"B","2013-10-09T00:00:00.000",NULL,"North Side-South Side",1,"Close",34,527,3024380012,"Cellar",2438,372176,4705958,"VIOLATION CLOSED","2014-11-18T00:00:00.000",12,"2013-10-09T00:00:00.000","Original",684,NULL,"376","BROOKLYN",3063376,3,"2013-10-10T00:00:00.000",78330,"SECTION 27-2037 ADM CODE  PROVIDE ADEQUATE LIGHTING AT CELLAR FRONT &  STAIRS LEADING DOWN  TO CELLAR FROM 1ST STORY PUBLIC HALL",19,"2013-11-14T00:00:00.000","376","376",NULL
"ROCKAWAY AVENUE","2013-12-10T00:00:00.000",NULL,328544,-73.907683,11212,40.65769,10001010,"B","2013-10-09T00:00:00.000",NULL,"Brownsville",16,"Close",42,916,3036250033,"Fire Escape",3625,362762,4712412,"VIOLATION CLOSED","2014-09-26T00:00:00.000",33,"2013-10-21T00:00:00.000","Original",512,NULL,"890","BROOKLYN",3082837,3,"2013-10-22T00:00:00.000",73470,"SECTION 27-2005 ADM CODE  FIRE ESCAPE DEFECTIVE. REPLACE WITH NEW THE BROKEN\, DEFECTIVE AND/OR MISSING 5TH TREAD FROM BOTTOM AT 2ND STORY BALCONY AT REAR STACK  AT FIRE ESCAPE",19,"2013-11-26T00:00:00.000","890","890",NULL
"GRAND CONCOURSE","2013-11-28T00:00:00.000",NULL,203970,-73.912796,10457,40.840612,10001011,"B","2013-10-09T00:00:00.000",NULL,"East Concourse-Concourse Village",4,"Close",14,225,2028320040,"3",2832,81701,4705665,"VIOLATION CLOSED","2015-05-08T00:00:00.000",40,"2013-10-09T00:00:00.000","Original",508,"2014-01-02T00:00:00.000","1466","BRONX",2007993,2,"2013-10-10T00:00:00.000",36420,"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WEST WALL   IN THE KITCHEN  LOCATED AT APT 3C\, 3rd STORY\, 1st APARTMENT FROM WEST AT NORTH \, SECTION  AT  NORTH",19,"2013-11-14T00:00:00.000","1466","1466","3C"
"BELMONT AVENUE","2014-01-28T00:00:00.000",NULL,363503,-73.879427,11208,40.672996,10001015,"A","2013-10-09T00:00:00.000",NULL,"East New York",5,"Close",42,1194,3040380015,"Yards / Courts",4038,207571,4706643,"VIOLATION CLOSED","2015-05-28T00:00:00.000",15,"2013-10-10T00:00:00.000","Original",106,NULL,"820","BROOKLYN",3089610,3,"2013-10-11T00:00:00.000",18830,"SECTION 53\, 187\, 231 M/D LAW AND DEPARTMENT RULES AND REGULATIONS.  PROVIDE A SHOE PROPERLY SECURED TO BOTTOM OF STRING OF DROPLADDER AT EAST FIRE ESCAPE",19,"2014-01-14T00:00:00.000","816","816",NULL
"HULL AVENUE","2013-10-23T00:00:00.000",NULL,200667,-73.873401,10467,40.879142,10001018,"C","2013-10-09T00:00:00.000",NULL,"Norwood",7,"Close",11,431,2033560104,"2",3356,87532,4705684,"VIOLATION CLOSED","2015-11-10T00:00:00.000",104,"2013-10-09T00:00:00.000","Original",526,NULL,"3511","BRONX",2018641,2,"2013-10-10T00:00:00.000",41420,"SECTION 27-2005\, 2007 ADM CODE  REMOVE THE ILLEGAL FASTENING DOUBLE CYLINDER KEY OPERATED LOCK INSTALLED AT DOOR  IN THE ENTRANCE  LOCATED AT APT 5B\, 2nd STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2013-10-18T00:00:00.000","3511","3511","5B"
"EAST 234 STREET","2016-09-23T00:00:00.000",NULL,207280,-73.857693,10466,40.894414,11261365,"A","2016-06-04T00:00:00.000",NULL,"Woodlawn-Wakefield",12,"Close",11,418,2049950005,"1",4995,72229,5444599,"VIOLATION CLOSED","2017-12-27T00:00:00.000",5,"2016-06-05T00:00:00.000","Original",700,NULL,"687","BRONX",2068071,2,"2016-06-06T00:00:00.000",28650,"SECTION 27-2045 ADM CODE  POST A PROPER NOTICE OF SMOKE DETECTOR REQUIREMENTS\, IN A FORM APPROVED BY THE COMMISSIONER\, AT OR NEAR THE MAIL BOX MISSING  AT PUBLIC HALL\, 1st STORY",19,"2016-09-09T00:00:00.000","687","687",NULL
"15 AVENUE","2013-12-04T00:00:00.000",NULL,317669,-73.985527,11219,40.634481,10001031,"B","2013-10-09T00:00:00.000",NULL,"Borough Park",12,"Close",44,232,3056180043,"Yards / Courts",5618,139948,4708571,"VIOLATION CLOSED","2015-03-27T00:00:00.000",43,"2013-10-15T00:00:00.000","Original",686,NULL,"4512","BROOKLYN",3136778,3,"2013-10-16T00:00:00.000",6580,"SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING NO LIGHTS 100 WATT AT BUILDING ENTRANCE (FRONTAGE IS 22 FOOT OR LESS)  AT FRONT AREAWAY",19,"2013-11-20T00:00:00.000","4512","4512",NULL
"OCEAN AVENUE","2014-01-28T00:00:00.000",NULL,320155,-73.955861,11230,40.622983,10001033,"A","2013-10-09T00:00:00.000",NULL,"Midwood",14,"Close",45,760,3076200041,"2",7620,347249,4706759,"VIOLATION CLOSED","2014-08-21T00:00:00.000",41,"2013-10-10T00:00:00.000","Original",556,NULL,"1589","BROOKLYN",3208318,3,"2013-10-11T00:00:00.000",67530,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT WALLS AND CEILING  IN THE ENTIRE APARTMENT  LOCATED AT APT 2M\, 2nd STORY\, 1st APARTMENT FROM SOUTH AT WEST",19,"2014-01-14T00:00:00.000","1589","1589","2M"
